Clicked At,Replied At,Data Entered At,Attachment Opened At,Macro Enabled At,QR Code Scanned At,Opened At,Reported,Scheduled,Delivered At,Job Title,Division,Browser,Browser Version,Operating System,Email Template,Current PPP,Risk Score,Locale,Department
,,,,,,,,2/14/24 16:14,2/14/24 16:26,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,CCleaner: Download the new CCleaner Mobile app! (QR Code),0,46.0773,en,Accounting
,,,,,,,,2/14/24 13:31,2/14/24 13:31,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Chipotle: Go BOGO with our mobile app! (QR Code),0,46.0773,en,Accounting
,,,,,,2/18/24 8:39,,2/15/24 13:24,2/15/24 13:24,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Twitter: Confirm your email address (Link),0.173913,46.0773,en,Accounting
2/15/24 16:40,,,,,,2/15/24 16:40,,2/15/24 16:39,2/15/24 16:39,Student,Undergraduate-Continuing-Northfield Campus-College Science - Mathematics,Microsoft Edge,121,ios,Hello All Cat Lovers!!!!! (Link),0.130435,46.0773,en,Accounting
,,,,,,,,2/15/24 13:33,2/15/24 13:33,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Hello All Cat Lovers!!!!! (Link),0.0869565,46.0773,en,Accounting
,,,,,,2/15/24 15:17,,2/15/24 14:49,2/15/24 14:49,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Thank you for your purchase! (Link),0.0869565,46.0773,en,Accounting
,,,,,,2/15/24 20:23,,2/15/24 20:23,2/15/24 20:23,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Countdown Timer: You've only got three minutes (Link),0.130435,46.0773,en,Accounting
,,,,,,,,2/13/24 21:54,2/13/24 21:54,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Terra: Let's go to the moon! (QR Code),0.0869565,46.0773,en,Accounting
,,,,,,2/16/24 5:15,,2/15/24 13:26,2/15/24 13:26,Student,Undergraduate-Continuing-Northfield Campus-College Professional Schools,,,,Amazon: Recent Amazon AWS Outage (Link),0.0434783,46.0773,en,Accounting
,,,,,,,,2/13/24 18:44,2/13/24 18:44,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Gooogle: Resolve 2 security issues found on your Gooogle account (Link),0,46.0773,en,Accounting
,,,,,,2/15/24 17:06,,2/15/24 17:06,2/15/24 17:06,Student,Undergraduate-New Freshman-Northfield Campus-College of Liberal Arts,,,,Amazon: Recent Amazon AWS Outage (Link),0.0869565,46.0773,en,Accounting
,,,,,,,,2/15/24 18:31,2/15/24 18:31,Student,Undergraduate-New Freshman-Northfield Campus-College Professional Schools,,,,Spirit: 50 Off Halloween Purchase Deal (Link),0,46.0773,en,Accounting
