Clicked At,Replied At,Data Entered At,Attachment Opened At,Macro Enabled At,QR Code Scanned At,Opened At,Reported,Scheduled,Delivered At,Job Title,Division,Browser,Browser Version,Operating System,Email Template,Current PPP,Risk Score,Department,
,,,,,,,,11/26/24 19:54,11/26/24 19:54,Administration,EMP IT SYSTEMS AND ARCH,,,,T-Mobile: Win the new Iphone Xs with T-Mobile (Link),0.015748,46.0773,IT SYSTEMS AND ARCH,
,,,,,,11/27/24 6:05,,11/26/24 21:07,11/26/24 21:07,Administration,EMP IT USER SERVICES,,,,Crypto University Giveaway (Link),0,46.0773,IT USER SERVICES,
,,,,,,11/27/24 18:26,11/27/24 18:26,11/27/24 16:00,11/27/24 16:00,Administration,EMP VP - STUDENT AFFAIRS,,,,Your Facebook Ads Receipt (Link) (PDF Attachment),0.0381679,39.1328,VP - STUDENT AFFAIRS,
,,,,,,,,11/27/24 21:07,11/27/24 21:07,Administration,EMP COMDNT CADETS,,,,EA Playstation Account Notification (Link) (QR Code),0.0909091,46.0773,COMDNT CADETS,
,,,,,,,,11/27/24 15:01,11/27/24 15:01,Administration,EMP NURSING,,,,T-Mobile: Win the new Iphone Xs with T-Mobile (Link),0.0606061,46.0773,ENGLISH,
,,,,,,,,11/27/24 17:43,11/27/24 17:43,Administration,EMP KREITZBERG LIBRARY,,,,Slack: Mandatory mobile app update (QR Code),0.0227273,39.1328,KREITZBERG LIBRARY,
,,,,,,11/26/24 9:26,,11/25/24 14:47,11/25/24 14:47,Administration,EMP PROVOST & DEAN OF FACULTY,,,,LinkedIn: Install LinkedIn Secure app (Link),0.0305344,46.0773,PROVOST & DEAN OF FACULTY,
,,,,,,11/26/24 15:40,,11/26/24 15:32,11/26/24 15:32,Administration,EMP PRESIDENTS OFFICE,,,,LinkedIn: Who's searching for you online? (Link),0.0676692,48.3921,,
,,,,,,11/26/24 21:12,,11/26/24 20:18,11/26/24 20:18,Administration,EMP CRIMINOLOGY AND CRIMINAL JUSTICE,,,,UPS: Service Temporarily Unavailable (QR Code),0.0671642,46.0773,CRIMINOLOGY AND CRIMINAL JUSTICE,
,,,,,,,,11/27/24 14:09,11/27/24 14:11,Administration,EMP MANAGEMENT,,,,jetBlue: Chance to win a FREE upgrade on your flight to New York! (Link),0.0225564,42.605,MANAGEMENT,
,,,,,,11/27/24 14:19,11/27/24 9:07,11/26/24 19:50,11/26/24 19:51,Administration,EMP BERLIN STUDY ABROAD,,,,Netflix Alerts: The Wait is Over! (Link),0.0451128,39.1328,BERLIN STUDY ABROAD,
,,,,,,11/27/24 22:04,11/27/24 22:04,11/27/24 19:30,11/27/24 19:30,Administration,EMP PROVOST & DEAN OF FACULTY,,,,ParkingEye: Parking Ticket Refund (Link),0.015873,39.1328,PROVOST & DEAN OF FACULTY,
,,,,,,11/26/24 20:43,,11/26/24 20:06,11/26/24 20:06,Administration,EMP VP - STUDENT AFFAIRS,,,,Dick's: Congratulations! (QR Code),0.030303,46.0773,CURRENT RESTRICTED - GRANTS,
,,,,,,11/27/24 2:49,,11/26/24 20:43,11/26/24 20:43,Administration,EMP COLLEGE OF GRAD & CONT STUDIES-GAO,,,,Get Spotify Premium for Free! (QR Code),0.0234375,46.0773,BIS INTERDISCIPLINARY STUDIES,
,,,,,,11/27/24 16:38,11/26/24 17:11,11/26/24 16:46,11/26/24 16:46,Administration,EMP BS IN STRATEGIC STUDIES (BSSSDA),,,,LinkedIn: Verification Required! (Link) (Credentials Landing Page),0.030303,39.1328,STEWARDSHIP,
,,,,,,11/26/24 12:50,11/26/24 12:50,11/25/24 15:25,11/25/24 15:25,Administration,EMP KREITZBERG LIBRARY,,,,Chase: You have a payment on hold (Link),0.00787402,39.1328,KREITZBERG LIBRARY,
,,,,,,,,11/25/24 18:54,11/25/24 18:54,Administration,EMP COLLEGE OF GRAD & CONT STUDIES-GAO,,,,Dick's: Congratulations! (QR Code),0.015748,47.3008,COLLEGE OF GRAD & CONT STUDIES-GAO,
,,,,,,,,11/27/24 14:22,11/27/24 14:22,Administration,EMP MATHEMATICS,,,,New invitation to publish your book (Link),0.0406504,46.0773,MATHEMATICS,
,,,,,,,,11/26/24 17:07,11/26/24 17:07,Administration,EMP BS IN CYBER SECURITY - BSCS,,,,Kmart: Kmart Deals are Starting Soon! (Link) (PDF Attachment),0,46.0773,BS IN CYBER SECURITY - BSCS,
,,,,,,11/26/24 21:21,,11/26/24 21:00,11/26/24 21:00,Administration,EMP KREITZBERG LIBRARY,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0.0381679,46.0773,KREITZBERG LIBRARY,
,,,,,,11/26/24 14:39,11/26/24 14:39,11/26/24 13:16,11/26/24 13:16,Administration,EMP HISTORY,,,,Disney: Your Disney account was updated (Link),0.00793651,39.1328,HISTORY,
,,,,,,,,11/25/24 20:01,11/25/24 20:01,Administration,EMP CHEMISTRY AND BIOCHEMISTRY,,,,EA Playstation Account Notification (Link) (QR Code),0.0225564,39.1328,CHEMISTRY AND BIOCHEMISTRY,
,,,,,,11/26/24 0:42,,11/25/24 17:10,11/25/24 17:11,Administration,EMP FAC OPER PLANT ADMIN,,,,Expedia: Pack your bags! Your trip is booked. (QR Code),0.0300752,46.0773,FAC OPER PLANT ADMIN,
,,,,,,,,11/27/24 14:03,11/27/24 14:03,Administration,EMP FAC OPER PLANT ADMIN,,,,Netflix: Your Netflix account is on hold! (Link) (Credentials Landing Page),0.0227273,46.0773,FAC OPER PLANT ADMIN,
,,,,,,,,11/27/24 15:30,11/27/24 15:30,Administration,EMP BIOLOGY,,,,Instagram: Unidentified Device (Link) (Credentials Landing Page),0.00793651,46.0773,BIOLOGY,
,,,,,,,,11/27/24 20:05,11/27/24 20:05,Administration,EMP FINANCIAL AID OFFICE,,,,EA Playstation Account Notification (Link) (QR Code),0.00793651,39.1328,FINANCIAL AID OFFICE,
,,,,,,11/26/24 16:53,,11/26/24 16:47,11/26/24 16:47,Administration,EMP SPORTS INFO DIRECTOR,,,,Expedia: Pack your bags! Your trip is booked. (QR Code),0,39.1328,SPORTS INFO DIRECTOR,
,,,,,,11/28/24 8:38,,11/27/24 20:51,11/27/24 20:52,Administration,EMP COUNSELING,,,,Chase: You have a payment on hold (Link),0.0451128,44.9199,COUNSELING,
,,,,,,,,11/27/24 20:48,11/27/24 20:48,Administration,EMP KREITZBERG ARENA,,,,Starbucks: Ready for a Starbucks coffee break? (Link),0.015625,46.0773,KREITZBERG ARENA,
,,,,,,,,11/27/24 19:39,11/27/24 19:40,Administration,EMP BS DATA ANALYTICS,,,,Get Spotify Premium for Free! (QR Code),0.0173913,41.4476,BSMS MANAGEMENT STUDIES,
,,,,,,,,11/27/24 19:42,11/27/24 19:42,Administration,EMP COMDNT CADETS,,,,LinkedIn: Verification Required! (Link) (Credentials Landing Page),0.00793651,46.0773,COMDNT CADETS,
,,,,,,,,11/26/24 16:05,11/26/24 16:05,Administration,EMP PSYCHOLOGY,,,,Starbucks: Ready for a Starbucks coffee break? (Link),0,39.1328,PSYCHOLOGY,
,,,,,,,,11/26/24 14:45,11/26/24 14:45,Administration,EMP NO CONTRACT,,,,Dick's: Congratulations! (QR Code),0.0227273,46.0773,MAH-MASTER OF ARTS IN HISTORY,
,,,,,,,,11/26/24 17:48,11/26/24 17:48,Student,Graduate Studies-Continuing-Coll Grad & Continuing Studies-College Graduate Con Studies,,,,Chipotle: Go BOGO with our mobile app! (QR Code),0.0227273,46.0773,Nursing,
,,,,,,,,11/27/24 21:01,11/27/24 21:01,Administration,EMP NO CONTRACT,,,,Your School Portraits are now available - Order#24532197 (Link),0.0347826,46.0773,MAH-MASTER OF ARTS IN HISTORY,
,,,,,,,,11/27/24 20:31,11/27/24 20:31,Administration,EMP SECURITY,,,,Someone sent you a Mother's Day ecard! (Link) (Credentials Landing Page),0.0526316,46.0773,SECURITY,
,,,,,,11/27/24 13:18,11/27/24 13:18,11/27/24 13:05,11/27/24 13:05,Administration,EMP FINANCIAL AID OFFICE,,,,Dick's: Congratulations! (QR Code),0.030303,39.1328,FINANCIAL AID OFFICE,
,,,,,,11/27/24 2:21,,11/26/24 21:04,11/26/24 21:04,Administration,EMP ART,,,,Netflix Alerts: The Wait is Over! (Link),0.0578512,46.0773,SCHOOL OF ARCHITECTURE & ART,
,,,,,,,,11/25/24 17:16,11/25/24 17:16,Administration,EMP FAC OPER PLANT ADMIN,,,,Starbucks: Forgot Password (Link),0.0172414,46.0773,FAC OPER PLANT ADMIN,
